trial,card,demanded_criterion,selected_pile,feedback,total_streaks
1,"[1, 1, 1, 2]",3,1,False, 
2,"[2, 1, 3, 1]",3,3,False, 
3,"[1, 1, 3, 3]",3,3,True, 
4,"[3, 2, 1, 1]",3,1,True, 
5,"[2, 3, 2, 1]",3,1,True, 
6,"[3, 1, 2, 1]",3,1,True, 
7,"[2, 2, 3, 1]",3,1,True, 
8,"[2, 3, 1, 2]",3,2,True, 
9,"[2, 2, 3, 3]",3,3,True, 
10,"[2, 3, 3, 3]",3,3,True, 
11,"[3, 3, 2, 1]",3,1,True, 
12,"[2, 3, 1, 3]",3,3,True,1
13,"[3, 2, 1, 2]",0,2,False, 
14,"[1, 1, 2, 3]",0,3,False, 
15,"[1, 1, 3, 1]",0,3,False, 
16,"[1, 3, 2, 1]",0,1,True, 
17,"[2, 2, 2, 3]",0,2,True, 
18,"[2, 1, 1, 2]",0,2,True, 
19,"[3, 2, 2, 3]",0,3,True, 
20,"[3, 2, 2, 1]",0,3,True, 
21,"[3, 3, 1, 1]",0,3,True, 
22,"[3, 3, 3, 2]",0,3,True, 
23,"[3, 1, 1, 3]",0,3,True, 
24,"[1, 1, 3, 2]",0,1,True, 
25,"[2, 3, 1, 1]",0,2,True,2
26,"[3, 1, 3, 2]",1,3,False, 
27,"[1, 1, 2, 2]",1,2,False, 
28,"[3, 1, 3, 1]",1,1,True, 
29,"[2, 1, 1, 1]",1,1,True, 
30,"[2, 2, 2, 1]",1,1,False, 
31,"[2, 2, 1, 2]",1,2,True, 
32,"[2, 2, 3, 2]",1,2,True, 
33,"[3, 2, 2, 2]",1,3,False, 
34,"[1, 2, 1, 1]",1,1,False, 
35,"[2, 1, 2, 1]",1,2,False, 
36,"[1, 3, 3, 2]",1,2,False, 
37,"[1, 3, 2, 3]",1,1,False, 
38,"[2, 2, 1, 1]",1,1,False, 
39,"[3, 3, 1, 2]",1,2,False, 
40,"[2, 3, 3, 2]",1,2,False, 
41,"[3, 1, 2, 2]",1,2,False, 
42,"[2, 3, 2, 2]",1,3,True, 
43,"[1, 2, 3, 3]",1,2,True, 
44,"[1, 3, 3, 3]",1,3,True, 
45,"[3, 1, 1, 1]",1,1,True, 
46,"[2, 1, 2, 3]",1,1,True, 
47,"[3, 1, 3, 3]",1,1,True, 
48,"[3, 1, 1, 2]",1,1,True, 
49,"[1, 2, 1, 3]",1,2,True, 
50,"[2, 1, 3, 3]",1,1,True, 
51,"[1, 3, 2, 2]",1,3,True,3
52,"[1, 3, 1, 3]",2,3,False, 
53,"[1, 1, 2, 1]",2,1,False, 
54,"[1, 2, 2, 3]",2,2,True, 
55,"[2, 1, 2, 2]",2,2,True, 
56,"[1, 2, 3, 2]",2,3,True, 
57,"[1, 1, 1, 3]",2,1,True, 
58,"[3, 1, 2, 3]",2,2,True, 
59,"[1, 2, 2, 1]",2,2,True, 
60,"[3, 2, 3, 1]",2,3,True, 
61,"[3, 2, 3, 2]",2,3,True, 
62,"[3, 3, 2, 3]",2,2,True, 
63,"[3, 3, 3, 1]",2,3,True,4
64,"[1, 2, 3, 1]",3,3,False, 
65,"[2, 1, 1, 3]",3,1,False, 
66,"[3, 3, 1, 3]",3,3,True, 
67,"[3, 3, 2, 2]",3,3,False, 
68,"[1, 2, 1, 2]",3,1,False, 
69,"[2, 2, 1, 3]",3,2,False, 
70,"[2, 1, 3, 2]",3,2,True, 
71,"[2, 3, 2, 3]",3,3,True, 
72,"[3, 2, 1, 3]",3,3,True, 
73,"[1, 3, 3, 1]",3,1,True, 
74,"[1, 3, 1, 2]",3,2,True, 
75,"[3, 2, 3, 3]",3,3,True, 
76,"[1, 3, 1, 1]",3,1,True, 
77,"[2, 3, 3, 1]",3,1,True, 
78,"[1, 2, 2, 2]",3,2,True, 
79,"[1, 1, 1, 2]",3,2,True,5
