trial,card,demanded_criterion,selected_pile,feedback,total_streaks
1,"[2, 1, 3, 2]",2,2,False,
2,"[1, 1, 2, 1]",2,1,False,
3,"[1, 3, 3, 1]",2,3,True,
4,"[2, 2, 1, 3]",2,1,True,
5,"[1, 2, 2, 2]",2,2,True,
6,"[2, 3, 2, 3]",2,3,False,
7,"[2, 1, 2, 2]",2,2,True,
8,"[1, 2, 1, 3]",2,1,True,
9,"[2, 2, 3, 1]",2,3,True,
10,"[3, 2, 3, 3]",2,3,True,
11,"[3, 3, 2, 1]",2,2,True,
12,"[3, 3, 2, 2]",2,3,False,
13,"[3, 2, 2, 2]",2,2,True,
14,"[1, 2, 3, 1]",2,3,True,
15,"[1, 3, 2, 2]",2,2,True,
16,"[3, 2, 2, 1]",2,2,True,
17,"[3, 1, 1, 1]",2,1,True,
18,"[1, 1, 2, 3]",2,2,True,
19,"[3, 1, 3, 1]",2,3,True,
20,"[2, 3, 3, 1]",2,3,True,
21,"[1, 2, 2, 3]",2,2,True,
22,"[3, 2, 1, 3]",2,1,True,1.0
23,"[3, 1, 2, 3]",3,2,False,
24,"[1, 1, 3, 3]",3,3,True,
25,"[2, 1, 1, 2]",3,1,False,
26,"[3, 3, 3, 1]",3,3,False,
27,"[3, 1, 2, 1]",3,2,False,
28,"[2, 3, 2, 1]",3,3,False,
29,"[1, 2, 1, 2]",3,1,False,
30,"[2, 3, 1, 3]",3,3,True,
31,"[1, 1, 1, 2]",3,1,False,
32,"[2, 3, 2, 2]",3,3,False,
33,"[3, 3, 3, 2]",3,3,False,
34,"[2, 1, 1, 3]",3,2,False,
35,"[1, 2, 3, 3]",3,2,False,
36,"[2, 2, 1, 2]",3,2,True,
37,"[1, 2, 2, 1]",3,1,True,
38,"[2, 1, 1, 1]",3,1,True,
39,"[1, 3, 2, 3]",3,1,False,
40,"[3, 1, 2, 2]",3,3,False,
41,"[1, 3, 1, 1]",3,3,False,
42,"[2, 3, 3, 3]",3,2,False,
43,"[2, 1, 3, 1]",3,2,False,
44,"[3, 3, 1, 2]",3,2,True,
45,"[2, 1, 2, 1]",3,2,False,
46,"[1, 2, 3, 2]",3,2,True,
47,"[3, 1, 1, 2]",3,3,False,
48,"[3, 3, 1, 3]",3,3,True,
49,"[3, 2, 1, 1]",3,2,False,
50,"[3, 1, 1, 3]",3,1,False,
51,"[3, 2, 1, 2]",3,1,False,
52,"[1, 3, 1, 3]",3,3,True,
53,"[1, 3, 3, 3]",3,1,False,
54,"[3, 1, 3, 2]",3,1,False,
55,"[3, 3, 1, 1]",3,1,True,
56,"[3, 2, 2, 3]",3,3,True,
57,"[1, 3, 2, 1]",3,2,False,
58,"[2, 1, 2, 3]",3,2,False,
59,"[3, 2, 3, 2]",3,2,True,
60,"[2, 2, 1, 1]",3,2,False,
61,"[2, 3, 3, 2]",3,2,True,
62,"[2, 2, 3, 2]",3,2,True,
63,"[3, 1, 3, 3]",3,3,True,
64,"[2, 2, 2, 1]",3,2,False,
65,"[2, 3, 1, 1]",3,2,False,
66,"[1, 1, 1, 3]",3,1,False,
67,"[1, 1, 3, 1]",3,1,True,
68,"[3, 3, 2, 3]",3,3,True,
69,"[2, 2, 2, 3]",3,2,False,
70,"[1, 1, 3, 2]",3,1,False,
71,"[1, 3, 1, 2]",3,3,False,
72,"[1, 3, 3, 2]",3,1,False,
73,"[3, 2, 3, 1]",3,2,False,
74,"[1, 2, 1, 1]",3,2,False,
75,"[2, 3, 1, 2]",3,2,True,
76,"[1, 1, 2, 2]",3,2,True,
77,"[2, 1, 3, 3]",3,3,True,
78,"[2, 2, 3, 3]",3,3,True,
79,"[2, 1, 3, 2]",3,3,False,
80,"[1, 1, 2, 1]",3,2,False,
81,"[1, 3, 3, 1]",3,3,False,
82,"[2, 2, 1, 3]",3,3,True,
83,"[1, 2, 2, 2]",3,2,True,
84,"[2, 3, 2, 3]",3,3,True,
85,"[2, 1, 2, 2]",3,2,True,
86,"[1, 2, 1, 3]",3,3,True,
87,"[2, 2, 3, 1]",3,1,True,
88,"[3, 2, 3, 3]",3,3,True,
89,"[3, 3, 2, 1]",3,1,True,
90,"[3, 3, 2, 2]",3,2,True,
91,"[3, 2, 2, 2]",3,2,True,2.0
92,"[1, 2, 3, 1]",0,1,True,
93,"[1, 3, 2, 2]",0,2,False,
94,"[3, 2, 2, 1]",0,1,False,
95,"[3, 1, 1, 1]",0,1,False,
96,"[1, 1, 2, 3]",0,2,False,
97,"[3, 1, 3, 1]",0,3,True,
98,"[2, 3, 3, 1]",0,3,False,
99,"[1, 2, 2, 3]",0,2,False,
100,"[3, 2, 1, 3]",0,3,True,
101,"[3, 1, 2, 3]",0,3,True,
102,"[1, 1, 3, 3]",0,3,False,
103,"[2, 1, 1, 2]",0,1,False,
104,"[3, 3, 3, 1]",0,3,True,
105,"[3, 1, 2, 1]",0,3,True,
106,"[2, 3, 2, 1]",0,2,True,
107,"[1, 2, 1, 2]",0,1,True,
108,"[2, 3, 1, 3]",0,2,True,
109,"[1, 1, 1, 2]",0,1,True,
110,"[2, 3, 2, 2]",0,2,True,
111,"[3, 3, 3, 2]",0,3,True,
112,"[2, 1, 1, 3]",0,2,True,
113,"[1, 2, 3, 3]",0,1,True,3.0
114,"[2, 2, 1, 2]",1,2,True,
115,"[1, 2, 2, 1]",1,1,False,
116,"[2, 1, 1, 1]",1,2,False,
117,"[1, 3, 2, 3]",1,3,True,
118,"[3, 1, 2, 2]",1,2,False,
119,"[1, 3, 1, 1]",1,3,True,
120,"[2, 3, 3, 3]",1,3,True,
121,"[2, 1, 3, 1]",1,1,True,
122,"[3, 3, 1, 2]",1,3,True,
123,"[2, 1, 2, 1]",1,1,True,
124,"[1, 2, 3, 2]",1,2,True,
125,"[3, 1, 1, 2]",1,1,True,
126,"[3, 3, 1, 3]",1,3,True,
127,"[3, 2, 1, 1]",1,2,True,
128,"[3, 1, 1, 3]",1,1,True,4.0
129,"[3, 2, 1, 2]",2,2,False,
130,"[1, 3, 1, 3]",2,3,False,
131,"[1, 3, 3, 3]",2,3,True,
132,"[3, 1, 3, 2]",2,3,True,
133,"[3, 3, 1, 1]",2,3,False,
134,"[3, 2, 2, 3]",2,3,False,
135,"[1, 3, 2, 1]",2,3,False,
136,"[2, 1, 2, 3]",2,2,True,
137,"[3, 2, 3, 2]",2,3,True,
138,"[2, 2, 1, 1]",2,1,True,
139,"[2, 3, 3, 2]",2,3,True,
140,"[2, 2, 3, 2]",2,3,True,
141,"[3, 1, 3, 3]",2,3,True,
142,"[2, 2, 2, 1]",2,2,True,
143,"[2, 3, 1, 1]",2,1,True,
144,"[1, 1, 1, 3]",2,1,True,
145,"[1, 1, 3, 1]",2,3,True,5.0
