trial,card,demanded_criterion,selected_criterion,feedback,total_streaks
1,"[2, 1, 1, 3]",1,3,False,
2,"[2, 1, 2, 3]",1,0,False,
3,"[2, 1, 1, 1]",1,1,True,
4,"[2, 3, 3, 3]",1,1,True,
5,"[1, 3, 3, 1]",1,1,True,
6,"[2, 3, 2, 1]",1,1,True,
7,"[1, 3, 1, 2]",1,1,True,
8,"[1, 3, 2, 1]",1,1,True,
9,"[3, 2, 1, 3]",1,1,True,
10,"[1, 2, 3, 2]",1,1,True,
11,"[2, 2, 1, 1]",1,1,True,
12,"[3, 1, 1, 3]",1,1,True,1.0
13,"[1, 3, 2, 3]",0,1,False,
14,"[3, 1, 1, 2]",0,1,False,
15,"[3, 3, 2, 3]",0,1,True,
16,"[3, 3, 3, 1]",0,1,True,
17,"[2, 2, 3, 3]",0,1,True,
18,"[1, 3, 3, 2]",0,1,False,
19,"[1, 2, 3, 1]",0,1,False,
20,"[2, 3, 3, 2]",0,1,False,
21,"[1, 2, 2, 1]",0,1,False,
22,"[2, 3, 2, 3]",0,1,False,
23,"[3, 2, 3, 3]",0,1,False,
24,"[2, 3, 3, 1]",0,1,False,
25,"[3, 2, 2, 3]",0,1,False,
26,"[3, 3, 2, 1]",0,1,True,
27,"[1, 1, 3, 1]",0,1,True,
28,"[3, 2, 2, 1]",0,1,False,
29,"[3, 1, 2, 2]",0,1,False,
30,"[2, 1, 3, 3]",0,1,False,
31,"[1, 2, 2, 2]",0,1,False,
32,"[3, 1, 3, 2]",0,1,False,
33,"[2, 2, 1, 2]",0,1,True,
34,"[1, 3, 3, 3]",0,1,False,
35,"[3, 3, 1, 1]",0,1,True,
36,"[3, 1, 2, 3]",0,1,False,
37,"[2, 1, 2, 2]",0,1,False,
38,"[3, 3, 2, 2]",0,1,True,
39,"[3, 3, 3, 3]",0,1,True,
40,"[1, 3, 2, 2]",0,1,False,
41,"[1, 2, 1, 2]",0,1,False,
42,"[3, 3, 1, 3]",0,1,True,
43,"[3, 3, 3, 2]",0,1,True,
44,"[2, 3, 1, 3]",0,1,False,
45,"[1, 3, 1, 3]",0,1,False,
46,"[3, 1, 2, 1]",0,1,False,
47,"[1, 2, 2, 3]",0,1,False,
48,"[1, 3, 1, 1]",0,1,False,
49,"[1, 1, 3, 3]",0,1,True,
50,"[3, 2, 3, 2]",0,1,False,
51,"[2, 1, 3, 1]",0,1,False,
52,"[1, 2, 3, 3]",0,1,False,
53,"[2, 2, 2, 2]",0,1,True,
54,"[3, 2, 3, 1]",0,1,False,
55,"[2, 3, 1, 2]",0,1,False,
56,"[1, 2, 1, 3]",0,1,False,
57,"[1, 1, 2, 2]",0,1,True,
58,"[3, 2, 2, 2]",0,1,False,
59,"[1, 1, 2, 3]",0,1,True,
60,"[1, 1, 3, 2]",0,1,True,
61,"[2, 3, 1, 1]",0,1,False,
62,"[1, 2, 1, 1]",0,1,False,
63,"[1, 1, 2, 1]",0,1,True,
64,"[2, 2, 3, 2]",0,1,True,
65,"[2, 2, 1, 3]",0,1,True,
66,"[3, 3, 1, 2]",0,1,True,
67,"[3, 2, 1, 2]",0,1,False,
68,"[1, 1, 1, 3]",0,1,True,
69,"[2, 1, 3, 2]",0,1,False,
70,"[3, 1, 3, 1]",0,1,False,
71,"[2, 1, 1, 2]",0,1,False,
72,"[3, 1, 1, 1]",0,1,False,
73,"[3, 1, 3, 3]",0,1,False,
74,"[2, 1, 2, 1]",0,1,False,
75,"[2, 2, 3, 1]",0,1,True,
76,"[2, 2, 2, 1]",0,1,True,
77,"[2, 3, 2, 2]",0,1,False,
78,"[3, 2, 1, 1]",0,1,False,
