,trial,card,demanded_criterion,selected_criterion,feedback,attention_weight,matching_vector,total_streaks
0,1,"[3, 3, 3, 3]",1,0,True,[0.25 0.25 0.25 0.25],[1. 1. 1. 1.],
1,2,"[2, 3, 1, 3]",1,1,True,[0.12500025 0.37499975 0.12500025 0.37499975],[1.e-06 1.e+00 1.e-06 1.e+00],
2,3,"[1, 2, 3, 1]",1,3,False,[0.06250012 0.50448702 0.24551298 0.18749988],[1.e+00 1.e-06 1.e-06 1.e+00],
3,4,"[2, 2, 3, 1]",1,1,True,[0.16142142 0.62207167 0.12275675 0.09375016],[1.e+00 1.e+00 1.e-06 1.e-06],
4,5,"[2, 1, 2, 2]",1,1,True,[0.08071121 0.81103584 0.06137887 0.04687558],[1.e-06 1.e+00 1.e-06 1.e-06],
5,6,"[3, 1, 2, 1]",1,1,True,[0.04035573 0.80861011 0.03068955 0.12034536],[1.e-06 1.e+00 1.e-06 1.e+00],
6,7,"[3, 1, 3, 3]",1,1,True,[0.02017837 0.90430506 0.01534527 0.06017318],[1.e-06 1.e+00 1.e-06 1.e-06],
7,8,"[2, 1, 3, 3]",1,1,True,[0.01008968 0.95215253 0.00767314 0.03008709],[1.e-06 1.e+00 1.e-06 1.e-06],
8,9,"[2, 1, 2, 3]",1,1,True,[0.00504534 0.97607626 0.00383707 0.01504404],[1.e-06 1.e+00 1.e-06 1.e-06],
9,10,"[2, 2, 1, 1]",1,1,True,[0.03605941 0.95450131 0.00191856 0.00752208],[1.e+00 1.e+00 1.e-06 1.e-06],
10,11,"[3, 2, 2, 2]",1,1,True,[0.01802979 0.91832087 0.02073387 0.04291615],[1.e-06 1.e+00 1.e+00 1.e+00],
11,12,"[3, 2, 2, 3]",1,1,True,[0.00901496 0.89384468 0.07568254 0.02145817],[1.e-06 1.e+00 1.e+00 1.e-06],
12,13,"[3, 3, 3, 1]",1,1,True,[0.04059572 0.80627014 0.14240517 0.01072914],[1.e+00 1.e+00 1.e+00 1.e-06],1.0
13,14,"[1, 3, 2, 2]",2,1,False,[0.16791986 0.40313507 0.34768903 0.08125612],[1.e-06 1.e+00 1.e-06 1.e-06],
14,15,"[1, 2, 2, 3]",2,1,True,[0.0839601  0.46081087 0.4146009  0.04062818],[1.e-06 1.e+00 1.e+00 1.e-06],
