trial,card,demanded_criterion,selected_pile,feedback,total_streaks
1,"[1, 3, 3, 1]",2,1,False,
2,"[1, 1, 3, 1]",2,3,True,
3,"[1, 3, 1, 1]",2,1,True,
4,"[1, 3, 2, 3]",2,1,False,
5,"[3, 3, 1, 1]",2,1,True,
6,"[1, 2, 3, 1]",2,3,True,
7,"[2, 1, 1, 3]",2,1,True,
8,"[3, 1, 2, 1]",2,2,True,
9,"[2, 1, 2, 1]",2,2,True,
10,"[3, 2, 1, 1]",2,1,True,
11,"[1, 2, 2, 3]",2,2,True,
12,"[3, 1, 1, 1]",2,1,True,
13,"[3, 2, 3, 3]",2,3,True,
14,"[3, 1, 3, 2]",2,3,True,1.0
15,"[2, 3, 1, 2]",3,1,False,
16,"[1, 3, 3, 3]",3,3,True,
17,"[3, 2, 2, 2]",3,2,True,
18,"[1, 3, 2, 1]",3,2,False,
19,"[3, 1, 3, 3]",3,3,True,
20,"[3, 2, 3, 2]",3,3,False,
21,"[3, 2, 3, 1]",3,3,False,
22,"[2, 1, 3, 1]",3,3,False,
23,"[3, 3, 3, 2]",3,3,False,
24,"[2, 2, 1, 3]",3,1,False,
25,"[3, 1, 2, 3]",3,2,False,
26,"[2, 2, 1, 2]",3,2,True,
27,"[3, 3, 1, 3]",3,3,True,
28,"[2, 2, 2, 1]",3,2,False,
29,"[1, 1, 3, 3]",3,1,False,
30,"[1, 3, 1, 2]",3,1,False,
31,"[1, 2, 1, 3]",3,1,False,
32,"[2, 1, 1, 1]",3,2,False,
33,"[2, 1, 1, 2]",3,1,False,
34,"[2, 2, 1, 1]",3,1,True,
35,"[1, 3, 2, 2]",3,2,True,
36,"[1, 2, 2, 2]",3,2,True,
37,"[1, 1, 3, 2]",3,3,False,
38,"[3, 1, 3, 1]",3,3,False,
39,"[2, 1, 2, 2]",3,2,True,
40,"[1, 2, 1, 2]",3,1,False,
41,"[2, 1, 3, 3]",3,3,True,
42,"[1, 1, 2, 3]",3,2,False,
43,"[3, 1, 2, 2]",3,2,True,
44,"[2, 2, 3, 3]",3,3,True,
45,"[2, 1, 3, 2]",3,3,False,
46,"[1, 2, 3, 3]",3,3,True,
47,"[1, 1, 1, 2]",3,1,False,
48,"[1, 1, 2, 1]",3,2,False,
49,"[3, 3, 2, 3]",3,2,False,
50,"[3, 2, 2, 3]",3,2,False,
51,"[3, 2, 1, 2]",3,1,False,
52,"[3, 2, 1, 3]",3,1,False,
53,"[2, 3, 3, 1]",3,2,False,
54,"[3, 1, 1, 3]",3,2,False,
55,"[2, 3, 3, 3]",3,2,False,
56,"[1, 1, 1, 3]",3,1,False,
57,"[3, 3, 2, 1]",3,2,False,
58,"[3, 2, 2, 1]",3,1,True,
59,"[2, 3, 2, 2]",3,2,True,
60,"[2, 2, 3, 1]",3,1,True,
61,"[1, 3, 3, 2]",3,2,True,
62,"[1, 2, 3, 2]",3,2,True,
63,"[2, 2, 3, 2]",3,2,True,
64,"[1, 2, 1, 1]",3,1,True,
65,"[3, 1, 1, 2]",3,1,False,
66,"[2, 3, 2, 3]",3,3,True,
67,"[2, 1, 2, 3]",3,3,True,
68,"[1, 1, 2, 2]",3,2,True,
69,"[2, 3, 1, 1]",3,1,True,
70,"[3, 3, 1, 2]",3,2,True,
71,"[2, 3, 2, 1]",3,1,True,
72,"[3, 3, 2, 2]",3,2,True,
73,"[1, 2, 2, 1]",3,1,True,
74,"[3, 3, 3, 1]",3,1,True,
75,"[2, 3, 3, 2]",3,2,True,2.0
76,"[1, 3, 1, 3]",0,3,False,
77,"[2, 2, 2, 3]",0,3,False,
78,"[2, 3, 1, 3]",0,3,False,
79,"[1, 3, 3, 1]",0,3,False,
80,"[1, 1, 3, 1]",0,1,True,
81,"[1, 3, 1, 1]",0,1,True,
82,"[1, 3, 2, 3]",0,1,True,
83,"[3, 3, 1, 1]",0,3,True,
84,"[1, 2, 3, 1]",0,1,True,
85,"[2, 1, 1, 3]",0,2,True,
86,"[3, 1, 2, 1]",0,3,True,
87,"[2, 1, 2, 1]",0,2,True,
88,"[3, 2, 1, 1]",0,3,True,
89,"[1, 2, 2, 3]",0,1,True,3.0
90,"[3, 1, 1, 1]",1,3,False,
91,"[3, 2, 3, 3]",1,3,False,
92,"[3, 1, 3, 2]",1,3,False,
93,"[2, 3, 1, 2]",1,1,False,
94,"[1, 3, 3, 3]",1,1,False,
95,"[3, 2, 2, 2]",1,2,True,
96,"[1, 3, 2, 1]",1,1,False,
97,"[3, 1, 3, 3]",1,3,False,
98,"[3, 2, 3, 2]",1,2,True,
99,"[3, 2, 3, 1]",1,2,True,
100,"[2, 1, 3, 1]",1,1,True,
101,"[3, 3, 3, 2]",1,3,True,
102,"[2, 2, 1, 3]",1,2,True,
103,"[3, 1, 2, 3]",1,1,True,
104,"[2, 2, 1, 2]",1,2,True,
105,"[3, 3, 1, 3]",1,3,True,
106,"[2, 2, 2, 1]",1,2,True,
107,"[1, 1, 3, 3]",1,1,True,4.0
108,"[1, 3, 1, 2]",2,3,False,
109,"[1, 2, 1, 3]",2,2,False,
110,"[2, 1, 1, 1]",2,1,True,
111,"[2, 1, 1, 2]",2,2,False,
112,"[2, 2, 1, 1]",2,1,True,
113,"[1, 3, 2, 2]",2,2,True,
114,"[1, 2, 2, 2]",2,2,True,
115,"[1, 1, 3, 2]",2,3,True,
116,"[3, 1, 3, 1]",2,3,True,
117,"[2, 1, 2, 2]",2,2,True,
118,"[1, 2, 1, 2]",2,1,True,
119,"[2, 1, 3, 3]",2,3,True,
120,"[1, 1, 2, 3]",2,2,True,
121,"[3, 1, 2, 2]",2,2,True,5.0
